interviewernumber	questionnairecode	Age	gender	race	howlong	own_rent	adults	adultsemployed	householdincome	personalincome	originalstratum	howclosepicture	howclosewords	inf_stlmnt_accuracy	residence_accuracy	crowflies_address_indicatedinfstlmnt	crowflies_indicatedaddress_indicatedinfstlmnt	crowflies_address_infstlmnt	crowflies_indicatedaddress_infstlmnt	byroad_address_indicatedinfstlmnt	byroad_indicatedaddress_indicatedinfstlmnt	byroad_address_infstlmnt	byroad_indicatedaddress_infstlmnt	hve_fence	hve_razorwire	hve_electricfence	hve_burglarbars	hve_dogs	hve_alarm	hve_armedrespnse	hve_camera	other	want_fence	want_razorwire	want_electricfence	want_burglarbars	want_dogs	want_alarm	want_armedrespnse	want_camera	other_A	cnt_avd1	cnt_avd2	cnt_avd3	cnt_avd4	SJ1	SJ2	SJ3	SJ4	Thrt_Phy1	Thrt_Phy2	Thrt_Phy3	Thrt_Rce1	Thrt_Rce2	Thrt_Rce3	Thrt_Rce4	Thrt_Sym1	Thrt_Sym2	Thrt_Sym3	Thrt_Sym4	Thrt_Sym5	Idnt_In1	Idnt_In2	Idnt_In3	Idnt_Nd1	Idnt_Nd2	Idnt_Nd3	Att_IS1	Att_IS2	Att_IS3	Att_IS4	Att_IS5	Att_B1	Att_B2	Att_B3	Att_B4	Att_B5	PA1	PA2	PA3	PA4	Cnt_IS_see	Cnt_IS_hear	Cnt_IS_smell	Cnt_qnt_B	Cnt_qnt_IS	Cnt_pos_B	Cnt_neg_B	Cnt_pos_IS1	Cnt_Qul_IS1	Cnt_Qul_IS2	Cnt_Qul_IS3	Cnt_neg_IS1	Cnt_neg_IS2	Cnt_neg_IS3	Cnt_Ex_B1	Cnt_Ex_B2	Cnt_Ex_IS1	Cnt_Ex_IS2	PD_I_D	PD_N_D	PD_B_D	PD_Is_D	PD_I_F	PD_N_F	PD_B_F	PD_Is_F	Emot_Is_D1	Emot_Is_D2	Emot_Is_D3	Emot_Is_G1	Emot_Is_G2	Emot_Is_G3	Emot_Is_G4	Emot_Is_G5	Emot_Is_G6	Emot_Is_G7	Emot_Is_G8	CA_Is1	CA_Is2	CA_B1	CA_B2	Solidar1	Solidar2	Empath1	Empath2	Empath3	Empath4	Empth_P1	Empth_P2	Empth_P3	Domestic	Domes_PtFt	Dom_Is	Dom_Att1	Dom_Att2	Gardner	Gardn_PtFt	Gardn_Is	Gardn_Att1	Gardn_Att2	cnt_avd	SysJus	Thrt_Phy	Thrt_Rce	Thrt_Sym	Idnt_In	Idnt_Nd	Prej_IS	Prej_B	PolAtt	Cnt_Qul_IS	Cnt_neg_IS	PDisc_I	PDisc_Is	Emot_Is_D	Emot_Is_G	Emot_IS_G_Angry	Emot_IS_G_Repuls	ColAct_Is	ColAct_B	Solidar	Empath	Dom_Relat	Gardn_Relat	Cnt_IS_Visceral	CNT_Physical	CNT_Qaulity	CNT_Quantity	CNT_Extended	Distance.SelfReport	group_meansplit_crwofliesdistance
2	B2	56	0	2	26	0	2	1	12	12	3	8	3	1	0	 	 	471.45	471.45	 	 	1174.38	1174.38	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	0	0	0	0	4	0	0	0	2	2	2	0	2	2	1	2	2	3	1	1	2	2	2	3	2	2	5	5	5	5	5	2	3	5	5	2	2	3	3	4	0	0	0	3	3	3	1	3	3	3	3	1	1	1	 	3	 	2	2	2	2	3	2	2	3	3	3	2	2	3	2	2	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	 	 	 	 	0	1	0	7	7	0	0	2	1.25	1.8	2	2.33333333333333	5	3.4	3	3	1	2	3	2.33333333333333	1.5	-.857790978959911	-.83328766442715	3	3	3	3	 	7	0	1.61309220345792	.928034806077208	.493164193492454	.512033736493909	7	2
2	B19	55	1	2	25	0	2	0	17	17	3	7	0	0	0	427.8	427.8	427.8	427.8	476.02	476.02	476.02	476.02	1	0	0	1	1	1	1	1	 	0	0	0	0	0	0	0	0	 	0	2	2	1	3	1	3	3	3	3	3	1	3	2	1	3	2	3	2	4	4	4	4	3	3	3	9	5	1	7	2	0	0	0	8	2	4	3	3	3	0	0	0	4	2	3	1	1	1	2	2	2	2	2	50	3	0	0	2	1	1	1	2	2	2	2	1	1	1	4	4	4	4	4	4	1	1	3	3	3	3	2	3	4	2	3	2	3	3	2	0	0	1	9	9	0	0	1	9	9	1.25	2.33333333333333	3	1.75	2.8	4	3	4.8	2	3.25	1.66666666666667	2	2	1.5	1	3.25	1.35608757321033	-.749330659669383	3	3	2.5	2.75	9	9	0	.57971694074792	-.0486361224921004	.131111858889859	-.194423797848075	3.5	2
2	B3	58	1	2	7	0	2	2	14	14	2	8	1	0	0	198.4	198.4	198.4	198.4	375.15	375.15	375.15	375.15	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	0	3	4	4	3	0	2	1	4	4	4	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	9	9	9	9	5	5	5	5	5	5	4	4	4	4	1	0	0	3	3	3	3	2	3	3	3	1	2	2	5	1	0	0	4	3	2	4	4	1	3	1	1	1	1	4	4	4	4	4	4	4	4	1	3	3	3	3	3	3	3	3	3	3	1	3	0	0	1	9	9	1	 	 	 	 	2.75	1	4	3	3	3.66666666666667	3	8.2	5	4	3	1.66666666666667	4	2.5	1	4	.459640194724626	1.03215258825581	2	3	3	3	9	 	1	.290247287752834	.367511407708424	.640183811508992	-1.37206626153062	5	1
2	B60	66	1	2	40	0	2	1	10	9	3	8	3	1	0	1091.2	1091.2	505.12	505.12	1236.38	1236.38	1032.06	1032.06	1	0	1	1	0	1	1	0	 	0	1	0	0	0	0	0	1	 	0	0	0	0	3	1	1	1	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	5	0	6	4	5	0	2	4	7	7	4	4	4	4	0	0	0	3	0	3	1	0	0	0	2	0	0	0	2	1	0	0	3	2	3	4	4	2	4	4	3	3	0	4	3	4	4	3	1	3	3	2	3	3	3	3	4	2	3	3	3	3	1	3	0	1	1	4	9	0	1	2	9	9	0	1	4	3.75	4	4	4	4	4	4	.666666666666667	0	3.5	4	2	3.125	.741877643623611	-.32031582887624	2.5	3	3.5	2.75	6.5	9	0	1.75398724223873	-.167689568136632	-1.38772156660883	-.90396554021094	7	2
1	A21	49	1	2	20	0	4	2	13	 	3	8	4	0	0	365.8	365.8	365.8	365.8	864.06	864.06	864.06	864.06	1	0	0	1	0	1	0	0	 	0	0	0	0	0	0	0	1	 	0	0	1	2	3	1	1	2	2	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	4	 	 	6	9	4	 	 	 	 	3	3	2	3	0	0	0	3	1	3	1	1	2	2	2	1	0	1	 	1	 	0	4	3	2	2	3	2	3	2	 	 	4	4	 	 	 	 	 	 	 	1	1	1	1	2	2	3	3	2	3	3	3	2	0	1	1	9	 	0	1	1	9	 	.75	1.33333333333333	2.33333333333333	3	2.8	3	3	3.8	.8	2.75	2	.666666666666667	3.5	2	1.33333333333333	.5	 	 	1	1	2	2.75	4.5	4.5	0	1.56430152755186	.483867050287649	-.728789336438405	-1.21955892583706	8	2
1	A20	40	0	2	13	0	3	2	16	16	3	5	 	1	1	1074.48	1209	469.52	539.169	1332.3	1319.59	1063.28	1008.92	1	1	0	1	1	1	1	1	 	0	0	1	0	0	0	0	0	 	0	1	2	2	4	2	3	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	9	5	5	9	2	5	5	5	9	2	4	4	4	4	0	1	1	4	2	2	3	0	1	1	1	2	2	3	0	0	0	0	4	4	0	0	0	0	4	0	0	0	0	4	4	4	4	4	4	4	3	0	0	0	0	0	0	4	0	0	0	0	4	0	1	 	 	 	 	1	 	 	 	 	1.25	2	4	4	4	4	4	6	5.2	4	1	2.33333333333333	2	0	0	3.875	.600974403525045	.742171801564585	0	0	0	1	 	 	2	 	 	 	 	2.5	2
1	A7	45	1	2	38	0	3	2	16	 	2	2	0	0	1	129.39	0	129.39	0	238.51	0	238.51	0	0	0	0	1	1	1	0	0	 	1	0	1	0	0	0	1	1	 	2	4	4	4	4	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	4	4	 	 	 	0	1	 	 	0	 	 	4	4	4	4	1	1	1	4	4	1	4	1	4	0	0	4	4	4	 	1	 	0	4	4	1	4	0	4	0	0	0	0	4	4	4	4	4	4	4	4	4	0	0	1	1	0	1	0	0	1	0	3	3	1	1	 	 	 	 	1	 	 	 	 	3.5	2.66666666666667	4	4	4	4	3	.2	0	4	1.33333333333333	4	2	2	1.33333333333333	4	.459640194724626	1.03215258825581	0	1	.5	.25	 	 	3	-.733132339502014	-2.03249547691088	1.33746915759941	-.866278220211761	1	1
1	A61	39	0	2	1	0	2	2	12	11	2	1	0	0	0	80.6	80.6	80.6	80.5999	129.87	129.87	129.87	129.87	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	0	0	0	0	3	4	0	1	4	4	3	3	4	4	4	3	3	3	3	4	4	4	4	3	3	3	5	1	0	3	0	5	2	0	1	0	4	4	4	4	1	1	1	4	3	3	1	2	2	3	3	1	1	2	15	3	0	0	4	4	0	1	4	0	3	1	2	1	1	 	3	4	1	3	1	1	1	2	3	2	2	4	4	4	4	4	2	2	2	3	1	 	 	 	 	1	 	 	 	 	0	1.66666666666667	3.66666666666667	3.75	3.2	4	3	1.8	1.6	4	2.66666666666667	1.33333333333333	4	1	1.33333333333333	1.75	 	 	2.5	2	4	3.5	 	 	3	-1.10112895035084	.80787751974036	.424627262012824	-.275906110905165	.5	1
1	A24	33	0	2	25	0	5	2	16	16	3	8	1	0	0	370.91	370.91	370.91	370.91	478.71	478.71	478.71	478.71	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	3	4	4	4	0	1	1	0	3	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	9	9	4	8	5	5	5	3	5	5	4	3	4	4	1	1	0	4	3	3	3	1	1	1	1	3	3	4	 	3	0	0	4	3	0	0	4	0	3	3	0	0	0	4	4	4	4	4	4	4	4	2	3	0	0	0	0	2	0	1	1	1	3	1	1	 	 	 	 	0	1	1	4	4	3.75	.666666666666667	3.66666666666667	4	3.6	4	4	7	4.6	3.75	1	3.33333333333333	4	1.5	0	4	.459640194724626	1.03215258825581	2.5	0	0	1	 	4	2	.573474735261507	-1.1549005495173	1.255800421269	-.281341530831518	5	2
1	A15	52	0	2	10	0	4	2	8	5	3	6	3	1	0	775	775	463.4	463.4	953.3	953.3	661.05	661.05	0	0	0	1	0	0	1	0	 	0	0	0	0	0	0	0	0	 	0	0	0	2	4	0	0	1	3	1	1	2	4	1	3	3	4	3	4	1	4	4	1	4	4	4	0	0	0	9	0	0	0	0	0	0	2	4	0	2	0	0	0	3	2	4	0	2	4	3	1	0	0	0	 	1	 	1	0	2	3	3	4	0	4	4	4	4	4	1	1	1	1	1	1	1	1	4	4	4	4	2	0	4	4	4	1	2	0	4	1	 	 	 	 	1	 	 	 	 	.5	.333333333333333	1.66666666666667	2.5	3	3	4	1.8	0	2	2.66666666666667	0	2	3.5	4	1	-2.18417143533507	-.220997901263749	4	4	1	3.25	 	 	0	1.08366256792669	1.71081334475633	-.278508262417489	-.939759596618199	6	2
4	D78	58	0	2	20	0	4	4	 	 	2	2	0	0	1	179.8	0	179.8	0	231.86	0	231.86	0	1	0	0	1	1	0	0	0	 	0	0	0	0	0	1	1	0	 	0	3	3	1	3	1	3	3	4	4	4	3	3	0	3	3	3	3	2	3	4	4	4	4	4	4	7	5	5	8	2	3	8	2	9	1	4	1	3	3	1	0	1	1	1	1	1	1	3	3	3	1	1	1	 	1	 	0	4	3	1	2	3	1	3	3	1	1	1	4	4	4	4	2	3	2	2	2	3	1	1	2	2	3	2	1	1	3	1	1	0	1	0	9	9	1	 	 	 	 	1.75	2.33333333333333	4	2.25	2.8	4	4	5.4	4.6	2.75	3	1	3.5	2.5	1	3.125	1.15377678899201	-.70980098628037	2.5	1	2	1.75	9	 	2	-.942441507303495	-.0684269720769392	-2.57548526089425	-.657571177659702	1	1
4	D87	35	1	2	5	0	3	0	 	 	3	8	3	0	1	696.17	322.4	696.17	322.399	877.45	653.22	877.45	653.22	1	0	0	1	1	0	0	0	 	0	0	0	0	0	1	0	0	 	3	0	4	4	4	1	3	1	3	3	4	4	4	3	3	3	3	4	3	4	4	4	4	4	4	4	4	2	7	8	7	3	2	1	7	1	4	3	3	3	0	0	0	3	1	3	1	1	3	3	3	1	1	1	 	4	 	0	4	3	1	1	4	1	1	3	4	4	4	4	4	4	4	4	4	4	4	3	3	1	1	1	3	3	3	3	0	3	3	3	1	 	 	 	 	1	 	 	 	 	2.75	1.66666666666667	3.33333333333333	3.5	3.4	4	4	5.6	2.8	3.25	3	1	4	2	4	4	.459640194724626	1.03215258825581	3	1	2	2.25	 	 	0	1.68891277756163	.341449125771159	-.861604304562989	.364497107386203	7	2
4	D35	52	0	2	30	0	2	1	 	 	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	3	3	3	3	3	1	1	2	4	4	4	1	3	 	 	3	1	3	3	3	4	4	3	1	1	3	8	7	2	9	2	5	3	0	8	0	3	3	3	3	1	1	1	3	3	3	3	2	1	1	1	3	3	4	 	2	 	1	3	3	 	2	4	1	4	3	2	2	2	4	4	4	4	4	4	4	4	0	0	3	3	3	3	3	1	1	1	3	3	1	0	1	0	9	9	 	 	 	 	 	3	1.33333333333333	4	1	2.6	3.66666666666667	1.66666666666667	5.6	3.2	3	1	3.33333333333333	3.5	2.5	2	4	.459640194724626	1.03215258825581	0	3	3	1.5	9	 	3	-1.21274500903333	-.697161201509739	.793368132228795	-.49733970978444	.5	1
4	D18	68	0	2	20	0	2	 	 	 	2	6	3	0	1	538.73	434	538.73	434	657.85	582.47	596.45	582.47	1	1	0	1	0	1	0	0	 	0	0	0	0	0	0	0	0	 	1	1	1	1	3	3	3	3	3	3	3	1	3	1	1	1	1	1	3	3	3	3	3	3	3	3	6	7	5	9	5	4	4	4	4	2	3	3	3	3	0	0	0	1	1	1	1	1	1	1	3	1	1	1	 	1	 	0	3	3	2	2	3	2	3	3	1	1	1	4	4	4	4	2	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	 	 	1	 	 	 	 	1	3	3	1.5	1.8	3	3	6.4	3.6	3	1.66666666666667	1	3	2.5	1	2.25	2.06334858961815	-2.64375663575484	1	1	1	1	 	 	0	1.00538442584251	-.486292312464506	-2.15923772319887	-.900479923480126	6	2
4	D75	68	1	2	38	0	4	3	 	 	2	1	0	0	1	124	217	124	217	129.77	455.29	129.77	455.29	1	1	0	1	1	1	1	0	 	0	0	1	0	0	0	0	0	 	2	1	3	3	1	3	1	1	4	4	4	1	4	3	3	3	4	3	3	4	4	4	4	4	4	4	7	7	8	7	5	4	2	3	6	6	3	3	3	4	1	1	1	3	3	1	2	1	3	3	3	1	0	2	 	3	 	3	3	3	1	1	3	1	3	1	2	0	0	3	3	3	3	4	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	 	 	 	 	0	1	1	9	9	2.25	1.66666666666667	4	2.75	3.4	4	4	6.8	4.2	3.25	3	1	3	1	.666666666666667	2.375	.366492149947897	-.89063960080983	3	3	3	3	 	9	3	-1.09964644517526	-.651841960456636	-.828143645214972	1.79622874642077	.5	1
4	D81	20	1	2	10	1	1	1	 	 	2	5	1	0	1	118.21	210.8	118.21	210.8	262.29	455.29	262.29	455.29	1	1	0	1	1	0	0	0	 	0	0	0	0	0	0	1	0	 	0	0	4	4	3	1	1	1	4	4	4	3	3	3	3	3	3	3	3	3	4	4	4	3	3	3	9	9	7	9	7	8	7	7	9	9	3	3	3	3	1	1	0	4	3	1	3	3	1	1	1	3	3	3	 	3	 	1	4	3	2	2	3	1	3	1	3	3	3	4	4	4	4	4	4	4	4	3	3	1	1	3	3	3	3	3	1	1	1	3	1	 	 	 	 	1	 	 	 	 	2	1	4	3	3	4	3	8.2	8	3	1	3	3.5	1.5	3	4	.459640194724626	1.03215258825581	3	1	3	2.5	 	 	2	-.174550674177756	-1.03586493066296	1.18847910549266	.0467238282866596	3.5	1
4	D90	47	0	2	13	0	2	2	 	 	2	3	1	0	0	161.2	161.2	161.2	161.199	311.25	311.25	311.25	311.25	1	1	0	0	0	0	0	0	 	0	0	0	0	0	1	0	0	 	1	1	1	1	3	1	3	3	3	3	3	1	3	1	1	1	1	1	1	3	3	3	3	3	3	3	5	5	3	6	2	3	3	2	6	1	3	3	3	3	1	1	0	3	3	3	1	3	3	3	3	1	1	1	 	3	 	3	2	2	2	2	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	 	 	 	 	1	 	 	 	 	1	2.33333333333333	3	1.5	1.4	3	3	4.2	3	3	3	1	2.5	2.5	3	1.5	-.930594295761169	-.754482092254603	3	3	3	3	 	 	2	-.46900174854196	1.03281133117094	.14170088506414	1.00802787105934	2.5	1
4	D70	53	1	2	23	0	1	0	 	 	3	3	1	0	0	353.4	353.4	353.4	353.4	596.94	596.94	596.94	596.94	1	1	0	1	1	0	0	0	 	0	0	0	0	0	1	0	0	 	1	1	1	2	1	1	1	3	3	3	3	3	3	3	3	3	1	3	3	3	4	4	4	4	4	4	6	6	6	8	4	5	5	5	3	2	4	4	4	4	1	1	0	3	3	2	1	2	3	3	3	1	1	2	 	2	 	2	3	3	2	2	3	1	3	1	1	1	1	3	3	3	3	2	2	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	1	 	 	 	 	1	 	 	 	 	1.25	1.66666666666667	3	3	2.6	4	4	6	4	4	3	1.33333333333333	3	1.5	1	2.25	.276243777161819	-.97475213663681	1	1	3	3	 	 	2	-.0591442618264679	.251667699544251	-.191471013391164	.530372055310514	2.5	2
4	D47	67	0	2	34	0	4	2	 	 	1	2	1	0	0	37.2	37.2	37.2	37.2	74.11	74.11	74.11	74.11	0	0	0	1	0	0	0	0	 	1	0	0	0	0	1	1	0	 	0	0	0	2	3	1	1	1	3	3	3	1	1	1	1	3	1	1	1	3	3	3	3	3	3	3	5	4	2	7	0	3	3	2	6	0	3	3	3	3	1	0	0	2	2	3	1	3	3	3	3	1	1	2	 	2	 	1	2	2	2	2	3	1	3	3	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	3	3	3	3	1	1	1	1	3	1	 	 	 	 	1	 	 	 	 	.5	1	3	1	1.8	3	3	3.6	2.8	3	3	1.33333333333333	2.5	2.5	1	1.5	-1.81884452123261	.064873682810557	1	1	3	2	 	 	1	-.78939252301452	1.28876356475085	-.649167853914343	-.652662919474102	2	1
8	H8	72	0	2	20	 	2	1	8	4	2	2	1	0	0	161.2	161.2	161.2	161.199	289.94	289.94	289.94	289.94	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	2	3	3	3	3	0	1	3	3	3	3	3	4	4	3	3	4	4	4	4	4	4	4	3	3	3	5	5	7	7	7	5	5	7	7	7	4	4	4	4	0	0	0	3	3	2	2	2	2	2	2	2	1	1	4	2	0	0	3	3	1	1	4	1	3	1	 	 	 	4	3	3	2	2	2	3	2	3	3	2	2	2	3	2	2	3	1	3	1	1	1	 	 	 	 	1	 	 	 	 	2.75	1.33333333333333	3	3.5	3.8	4	3	6.2	6.2	4	2	1.33333333333333	3.5	1	 	2.625	-.134002019634826	-.111723871970123	3	2	2.5	2	 	 	0	-.154578127005687	.104103086585246	.0913350567081064	-.870971924816376	2	1
8	H14	20	0	2	21	0	3	2	17	7	3	 	1	0	0	341	341	341	341	500.95	500.95	500.95	500.95	1	1	0	1	1	1	1	0	 	0	0	1	0	0	0	0	1	 	0	0	0	0	2	1	1	2	2	2	2	2	2	2	4	3	3	4	3	4	4	4	3	3	3	3	5	3	4	5	3	4	3	4	3	4	 	 	 	 	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1.33333333333333	2	2.5	3.4	3.66666666666667	3	4	3.6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	1	2
9	I49	45	0	2	8	1	5	4	16	16	3	 	 	1	0	1116	1116	558.39	558.39	1572.05	1572.05	1861.07	1861.07	1	0	0	0	0	0	0	0	 	0	1	0	0	1	1	1	1	 	0	2	1	4	3	3	1	2	3	3	3	4	4	3	3	3	1	3	3	4	4	4	4	4	4	4	4	1	0	0	0	2	1	0	0	0	3	2	3	4	0	0	0	3	3	3	2	2	2	3	3	2	1	3	10	3	10	3	4	4	4	4	4	4	4	4	2	2	2	4	4	4	4	4	4	4	4	3	3	3	3	2	2	2	3	2	1	2	2	1	1	 	 	 	 	1	 	 	 	 	1.75	2	3	3.5	2.8	4	4	1	.6	3	2.66666666666667	2	4	4	2	4	.459640194724626	1.03215258825581	3	3	2	2	 	 	0	 	 	 	 	 	2
9	I17	22	1	2	.4	1	3	3	13	 	3	 	2	1	1	527	55.8	323.29	829.67	757.97	265.08	360.31	882.56	1	0	0	1	0	0	0	0	 	0	0	0	0	0	1	1	1	 	3	2	1	4	2	1	1	1	4	4	4	4	4	4	4	3	2	3	3	4	4	4	4	4	4	4	5	5	5	5	5	3	3	3	3	3	1	3	2	3	1	0	0	4	4	1	2	1	2	1	2	1	1	4	 	3	 	1	3	3	2	2	4	3	3	2	2	2	2	4	4	4	4	4	4	4	4	3	3	2	2	3	3	3	3	3	4	1	3	4	1	 	 	 	 	 	 	 	 	 	2.5	1	4	4	3	4	4	5	3	2.25	1.66666666666667	2	3.5	2	2	4	.459640194724626	1.03215258825581	3	2	3	3.25	 	 	1	 	 	 	 	2	2
9	E6	70	0	2	6	0	2	0	7	6	2	2	0	0	0	186	186	186	186	330.27	330.27	330.27	330.27	1	1	0	1	0	1	0	0	 	0	0	0	0	0	0	0	0	 	0	0	0	4	4	0	3	4	4	4	4	4	4	0	1	4	4	4	4	4	4	4	4	4	4	1	2	2	4	9	2	2	2	5	9	2	4	4	4	1	0	1	0	1	1	4	0	4	4	4	4	0	2	1	10	2	5	1	3	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	1	3	4	4	4	4	3	1	4	1	 	 	 	 	 	 	 	 	 	1	2.33333333333333	4	2.25	4	4	3	3.8	4	3.25	4	1	3	4	4	4	.459640194724626	1.03215258825581	0	0	2	4	 	 	1	-.810845281183644	2.44089794063533	-1.32556696825634	-.726003538047505	1	1
9	I21	52	1	2	55	0	6	1	16	16	3	6	1	0	1	399.54	74.6	399.54	74.5999	583.81	215.6	583.81	215.6	0	0	0	0	0	1	0	0	 	1	0	0	0	0	0	0	0	 	0	0	0	0	1	1	1	1	3	2	1	3	1	1	2	2	2	2	1	3	4	4	3	2	2	2	 	 	 	 	 	 	 	 	 	 	3	3	3	3	0	0	0	4	2	3	1	2	2	3	3	1	1	1	 	3	 	2	2	2	1	2	2	2	3	3	2	2	2	3	2	4	2	2	0	1	1	2	2	2	2	3	3	3	3	3	3	1	1	3	1	 	 	 	 	1	 	 	 	 	0	1	2	1.75	2	3.66666666666667	2	 	 	3	2.66666666666667	1	2	2.5	2	1.875	.301051274924419	-1.45942065699537	2	2	3	3	 	 	0	.687918108515189	.650123238031372	.133089717028681	.693944965702809	4	2
9	I54	37	1	2	30	0	2	1	 	 	2	7	1	0	1	210.51	24.8	 	 	244.57	26.16	244.57	26.16	1	1	0	1	1	0	0	0	 	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	0	4	4	4	4	4	4	4	4	3	2	4	4	4	4	4	4	3	2	4	4	3	2	2	5	5	5	5	5	3	3	2	4	1	1	0	2	3	2	2	2	2	2	2	2	3	3	 	2	 	0	4	3	0	0	3	3	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	4	4	3.4	4	3	3	5	3	2	2.66666666666667	3.5	1.5	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	4.5	 
9	I81	 	1	2	35	0	3	2	14	 	2	2	1	0	1	102.59	124	102.59	124	121.44	287.87	121.44	287.87	1	0	0	1	1	1	0	0	 	0	0	0	0	0	0	0	0	 	0	4	4	4	1	3	3	3	3	3	3	4	4	3	3	4	4	4	3	4	4	4	4	4	4	4	9	9	9	9	9	9	9	9	9	9	0	4	4	4	1	1	1	3	2	2	3	1	1	1	1	3	3	4	10	2	 	0	3	3	2	0	3	3	3	0	0	0	0	4	4	4	4	4	4	4	4	0	0	0	0	1	0	0	1	0	0	0	3	1	1	 	 	 	 	1	 	 	 	 	3	3	3	3.5	3.8	4	4	9	9	3	1	3.33333333333333	3	0	0	4	.459640194724626	1.03215258825581	0	0	.5	.25	 	 	3	-.732734198862745	-1.35368818355788	-.0157890435299914	-.641901519873404	2	1
9	I10	41	0	2	38	0	2	2	16	16	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	 	0	0	1	0	0	0	0	1	 	0	1	1	0	4	2	2	0	4	4	4	4	4	4	2	3	2	4	4	4	1	4	4	2	3	3	3	4	5	1	4	3	3	6	5	3	4	3	2	4	1	1	1	4	3	4	0	3	3	3	3	1	0	2	20	4	4	2	4	3	2	2	4	2	4	3	2	1	2	3	3	4	4	2	2	2	1	4	4	3	2	3	3	3	2	2	1	1	0	2	0	1	1	8	8	1	 	 	 	 	.5	1.33333333333333	4	3.5	3.4	3	2.66666666666667	3.4	4	3.25	3	1	4	2.5	1.66666666666667	2.625	.77230249966181	-.981806394428725	4	2.5	3	2	8	 	3	-1.33986604589724	1.78974808828746	.523301191813207	.834946670142043	.5	1
9	I26	33	0	2	35	0	3	3	16	16	3	1	0	0	0	49.6	49.6	49.6	49.6	115.88	115.88	115.88	115.88	1	1	0	1	0	1	0	1	 	0	0	0	0	0	0	0	0	 	0	0	0	0	4	1	1	1	3	3	3	2	2	3	2	2	2	2	2	3	4	4	4	2	1	2	5	8	8	0	8	2	2	4	6	9	4	4	4	4	1	1	0	4	3	3	2	4	2	2	2	0	0	0	10	4	0	0	2	3	0	4	2	4	4	4	3	2	4	3	2	3	2	4	2	2	2	4	4	3	3	1	1	4	4	4	4	3	3	3	0	1	0	9	9	0	1	0	9	9	0	1	3	2.25	2.2	4	1.66666666666667	5.8	4.6	4	2	0	2	4	3	2.5	-.595833942347538	.156702619874955	4	3	1	4	9	9	2	-.919164092160267	1.37576497484299	1.05145179553746	-.323100131883783	.5	1
10	E10	67	0	2	30	0	2	1	 	 	1	3	0	0	0	37.2	37.2	37.2	37.2	96.85	96.85	96.85	96.85	1	0	0	0	0	1	1	0	 	0	0	0	0	0	0	0	0	 	0	2	2	2	3	1	1	1	4	4	4	4	4	1	3	3	3	1	1	4	4	4	4	3	3	3	5	2	3	9	2	1	1	1	8	1	4	3	1	4	1	1	0	3	3	2	2	1	4	4	3	1	1	2	 	3	5	1	4	4	2	1	3	2	4	1	1	1	1	3	3	3	3	3	3	3	3	3	3	1	1	2	2	3	3	1	1	4	4	4	1	 	 	 	 	1	 	 	 	 	1.5	1	4	3	2.4	4	3	4.2	2.4	3	3.66666666666667	1.33333333333333	3.5	1	1	3	-.421630348628606	.614435758415956	3	1	2	2	 	 	2	-.918826563551137	.0544401973862457	-.526685673359693	.511953855677083	1.5	1
